NO;NOPOL;TRANSPORTIR;CO2 PERTAMA;CO2 KEDUA;DCP PRESSURE;FOAM;DCP CATRIDGE;;;;;;;;;;;;;;;;;
49;H8481OH;PT. LUMAS BIRU MANDIRI;30/07/2025;30/07/2025;29/05/2026;29/05/2026;;;;;;;;;;;;;;;;;;
50;H9013OH;PT. LUMAS BIRU MANDIRI;30/12/2025;30/12/2025;30/12/2025;30/12/2025;;;;;;;;;;;;;;;;;;
51;H9155OF;PT.LUMAS PRIMA;20/08/2025;20/08/2025;;30/03/2026;30/03/2026;;;;;;;;;;;;;;;;;
52;H9390OF;PT. ADHI BUANA PERSADA;01/07/2025;01/07/2025;28/02/2026;28/02/2026;;;;;;;;;;;;;;;;;;
53;H9391OF;PT. ADHI BUANA PERSADA;14/01/2026;14/01/2026;14/01/2026;14/01/2026;;;;;;;;;;;;;;;;;;
54;H9392OF;PT. ADHI BUANA PERSADA;06/02/2026;06/02/2026;29/04/2026;29/05/2026;;;;;;;;;;;;;;;;;;
55;H9536OH;PT. LUMAS BIRU MANDIRI;;;;02/03/2026;02/03/2026;;;;;;;;;;;;;;;;;
56;H9677OF;PT. ADHI BUANA PERSADA;14/12/2025;14/12/2025;14/01/2026;14/01/2026;;;;;;;;;;;;;;;;;;
57;H9698OF;PT. ADHI BUANA PERSADA;24/07/2025;24/07/2025;29/05/2026;29/05/2026;;;;;;;;;;;;;;;;;;
58;H9771OF;PT. LUMAS BIRU PRIMA;24/08/2025;24/08/2025;28/02/2026;28/02/2026;;;;;;;;;;;;;;;;;;
59;N8021UEA;PT DHARMA CITRA ENERGI;15/02/2026;15/02/2026;15/02/2026;15/02/2026;;;;;;;;;;;;;;;;;;
60;N8054UEA;PT DHARMA CITRA ENERGI;;;04/03/2026;04/03/2026;;;;;;;;;;;;;;;;;;
61;N8533UG;PT. SINAR WAHANA SURYA;21/08/2025;21/08/2025;;17/02/2026;28/02/2026;;;;;;;;;;;;;;;;;
62;N8641UH;PT. DHARMA CITRA ENERGI;14/01/2026;14/01/2026;14/01/2026;28/02/2026;;;;;;;;;;;;;;;;;;
63;N8864UG;PT DHARMA CITRA ENERGI;31/01/2026;17/11/2025;31/01/2026;31/01/2026;;;;;;;;;;;;;;;;;;
64;N8869UF;PT DHARMA CITRA ENERGI;14/12/2025;14/12/2025;14/12/2025;14/12/2025;;;;;;;;;;;;;;;;;;
65;N9086UI;PT. SINAR WAHANA SURYA;07/03/2025;07/03/2025;29/04/2026;29/04/2026;;;;;;;;;;;;;;;;;;
